match_id,date,home_team,away_team,home_team_id,away_team_id,home_team_elo,away_team_elo
1376207,2020-02-29,Bournemouth,Chelsea,183,15,1641.85009766,1824.78210449
1376208,2020-06-20,Brighton,Arsenal,211,13,1640.24560547,1797.33056641
1376209,2020-02-29,Brighton,Crystal Palace,211,162,1648.91821289,1719.31896973
1376210,2020-06-21,Everton,Liverpool,31,26,1737.55810547,2026.43139648
1376211,2020-03-01,Everton,Man United,31,32,1753.54528809,1831.31542969
1376212,2020-06-22,Man City,Burnley,167,184,1980.99365234,1711.14550781
1376213,2020-06-17,Man City,Arsenal,167,13,1975.79089355,1802.5333252
1376214,2020-06-21,Newcastle,Sheffield United,23,163,1693.29589844,1704.81323242
1376215,2020-02-29,Newcastle,Burnley,23,184,1690.91394043,1715.21337891
1376216,2020-06-19,Norwich,Southampton,168,18,1600.69494629,1674.08850098
1376217,2020-02-28,Norwich,Leicester,168,14,1601.21459961,1817.98852539
1376218,2020-06-19,Tottenham,Man United,30,32,1798.41308594,1851.97485352
